challenge_level,difference,difficulty,random_value,won,old_estimated_level,new_estimated_level,temporary_levels
5,-3,0.94,0.10,false,5.00,4.50,[5 4]
5,-3,0.94,0.95,true,4.50,5.00,[5 4 6]
5,-3,0.94,0.47,false,5.00,4.75,[5 4 6 4]
4,-2,0.79,0.56,false,4.75,4.40,[5 4 6 4 3]
5,-3,0.94,0.67,false,4.40,4.40,[5 4 6 4 3]
5,-3,0.94,0.72,false,4.40,4.40,[5 4 6 4 3]
4,-2,0.79,0.10,false,4.40,4.00,[4 6 4 3 3]
4,-2,0.79,0.86,true,4.00,4.20,[6 4 3 3 5]
4,-2,0.79,0.44,false,4.20,3.60,[4 3 3 5 3]
4,-2,0.79,0.00,false,3.60,3.60,[4 3 3 5 3]
4,-2,0.79,0.80,true,3.60,3.80,[3 3 5 3 5]
4,-2,0.79,0.49,false,3.80,3.80,[3 3 5 3 5]
4,-2,0.79,0.71,false,3.80,3.80,[3 3 5 3 5]
3,-1,0.65,0.33,false,3.80,3.60,[3 5 3 5 2]
3,-1,0.65,0.06,false,3.60,3.40,[5 3 5 2 2]
4,-2,0.79,0.42,false,3.40,3.40,[5 3 5 2 2]
4,-2,0.79,0.99,true,3.40,3.40,[3 5 2 2 5]
3,-1,0.65,0.60,false,3.40,3.20,[5 2 2 5 2]
4,-2,0.79,0.48,false,3.20,3.20,[5 2 2 5 2]
4,-2,0.79,0.23,false,3.20,3.20,[5 2 2 5 2]
3,-1,0.65,0.70,true,3.20,3.20,[5 2 2 5 2]
4,-2,0.79,0.95,true,3.20,3.20,[2 2 5 2 5]
3,-1,0.65,0.75,true,3.20,3.20,[2 2 5 2 5]
3,-1,0.65,0.01,false,3.20,3.20,[2 5 2 5 2]
3,-1,0.65,0.34,false,3.20,3.20,[5 2 5 2 2]
4,-2,0.79,0.10,false,3.20,3.20,[5 2 5 2 2]
3,-1,0.65,0.18,false,3.20,2.60,[2 5 2 2 2]
2,0,0.50,0.23,false,2.60,2.40,[5 2 2 2 1]
3,-1,0.65,0.34,false,2.40,2.40,[5 2 2 2 1]
2,0,0.50,0.16,false,2.40,1.60,[2 2 2 1 1]
1,1,0.35,0.48,true,1.60,1.60,[2 2 2 1 1]
2,0,0.50,0.85,true,1.60,1.80,[2 2 1 1 3]
